"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2025","218.00","219.00","219.60","216.60","1.09M","-0.46%"
"09/18/2025","219.00","220.40","221.00","218.00","332.06K","-0.64%"
"09/17/2025","220.40","221.00","223.00","219.00","444.42K","0.18%"
"09/16/2025","220.00","219.20","222.80","218.80","927.98K","0.36%"
"09/15/2025","219.20","225.40","225.40","216.40","719.17K","-2.75%"
"09/12/2025","225.40","227.00","227.00","224.20","203.47K","-0.70%"
"09/11/2025","227.00","225.80","228.60","224.00","315.76K","0.44%"
"09/10/2025","226.00","226.00","227.00","223.40","476.64K","-0.44%"
"09/09/2025","227.00","233.00","233.00","227.00","829.45K","-2.49%"
"09/08/2025","232.80","233.00","233.40","231.80","550.16K","0.00%"
"09/05/2025","232.80","232.20","233.80","231.20","630.55K","-0.09%"
"09/04/2025","233.00","233.00","234.00","231.00","602.40K","-0.43%"
"09/03/2025","234.00","235.80","235.80","233.20","519.98K","-0.68%"
"09/02/2025","235.60","235.60","236.20","234.20","452.81K","0.00%"
"09/01/2025","235.60","232.20","237.00","230.60","315.47K","1.55%"
"08/29/2025","232.00","239.80","239.80","232.00","594.00K","-3.33%"
"08/28/2025","240.00","234.60","240.60","234.00","1.18M","2.13%"
"08/27/2025","235.00","234.40","236.80","232.00","623.11K","0.00%"
"08/26/2025","235.00","232.00","235.00","229.00","1.25M","0.34%"
"08/22/2025","234.20","234.40","234.80","232.00","384.64K","-0.26%"
"08/20/2025","234.80","229.60","234.80","229.00","1.41M","2.18%"
"08/19/2025","229.80","227.20","229.80","224.00","626.09K","1.06%"
