Date,Close,Open,High,Low,Vol.,Change %
09/12/2025,225.4,227,227,224.2,203.47K,-0.70%
09/11/2025,227,225.8,228.6,224,315.76K,0.44%
09/10/2025,226,226,227,223.4,476.64K,-0.44%
09/09/2025,227,233,233,227,829.45K,-2.49%
09/08/2025,232.8,233,233.4,231.8,550.16K,0.00%
09/05/2025,232.8,232.2,233.8,231.2,630.55K,-0.09%
09/04/2025,233,233,234,231,602.40K,-0.43%
09/03/2025,234,235.8,235.8,233.2,519.98K,-0.68%
09/02/2025,235.6,235.6,236.2,234.2,452.81K,0.00%
09/01/2025,235.6,232.2,237,230.6,315.47K,1.55%
08/29/2025,232,239.8,239.8,232,594.00K,-3.33%
08/28/2025,240,234.6,240.6,234,1.18M,2.13%
08/27/2025,235,234.4,236.8,232,623.11K,0.00%
08/26/2025,235,232,235,229,1.25M,0.34%
08/22/2025,234.2,234.4,234.8,232,384.64K,-0.26%
08/20/2025,234.8,229.6,234.8,229,1.41M,2.18%
08/19/2025,229.8,227.2,229.8,224,626.09K,1.06%
08/18/2025,227.4,218.4,227.4,218,1.25M,4.12%
08/15/2025,218.4,220,223,216,966.24K,-0.73%
08/14/2025,220,216.2,223.6,215.2,1.78M,2.33%
08/13/2025,215,215,215.8,213.2,409.72K,0.00%
08/12/2025,215,211.8,216.2,211,342.90K,1.42%
08/11/2025,212,213.8,214.4,210.6,840.18K,-0.19%
08/08/2025,212.4,217.4,217.4,211.8,1.12M,-2.30%
08/07/2025,217.4,216,217.6,214.2,289.63K,0.65%
08/06/2025,216,219,219,215.4,540.70K,-1.37%
08/05/2025,219,220.2,220.2,217.8,451.43K,-0.45%
08/04/2025,220,222.2,222.2,217.2,426.76K,-1.08%
08/01/2025,222.4,217,222.4,216.8,452.66K,2.49%
07/31/2025,217,219,219,216,698.88K,-0.91%
07/30/2025,219,220,220,216.6,911.11K,0.00%
07/29/2025,219,220.8,221.6,218.6,921.09K,-0.82%
07/28/2025,220.8,224,224,218.6,1.05M,-1.43%
