Date,Close,Open,High,Low,Vol.,Change %
9/19/25,218,219,219.6,216.6,1.09M,-0.46%
9/18/25,219,220.4,221,218,332.06K,-0.64%
9/17/25,220.4,221,223,219,444.42K,0.18%
9/16/25,220,219.2,222.8,218.8,927.98K,0.36%
9/15/25,219.2,225.4,225.4,216.4,719.17K,-2.75%
9/12/25,225.4,227,227,224.2,203.47K,-0.70%
9/11/25,227,225.8,228.6,224,315.76K,0.44%
9/10/25,226,226,227,223.4,476.64K,-0.44%
9/9/25,227,233,233,227,829.45K,-2.49%
9/8/25,232.8,233,233.4,231.8,550.16K,0.00%
9/5/25,232.8,232.2,233.8,231.2,630.55K,-0.09%
9/4/25,233,233,234,231,602.40K,-0.43%
9/3/25,234,235.8,235.8,233.2,519.98K,-0.68%
9/2/25,235.6,235.6,236.2,234.2,452.81K,0.00%
9/1/25,235.6,232.2,237,230.6,315.47K,1.55%
8/29/25,232,239.8,239.8,232,594.00K,-3.33%
8/28/25,240,234.6,240.6,234,1.18M,2.13%
8/27/25,235,234.4,236.8,232,623.11K,0.00%
8/26/25,235,232,235,229,1.25M,0.34%
8/22/25,234.2,234.4,234.8,232,384.64K,-0.26%
8/20/25,234.8,229.6,234.8,229,1.41M,2.18%
8/19/25,229.8,227.2,229.8,224,626.09K,1.06%
8/18/25,227.4,218.4,227.4,218,1.25M,4.12%
8/15/25,218.4,220,223,216,966.24K,-0.73%
8/14/25,220,216.2,223.6,215.2,1.78M,2.33%
8/13/25,215,215,215.8,213.2,409.72K,0.00%
8/12/25,215,211.8,216.2,211,342.90K,1.42%
8/11/25,212,213.8,214.4,210.6,840.18K,-0.19%
8/8/25,212.4,217.4,217.4,211.8,1.12M,-2.30%
8/7/25,217.4,216,217.6,214.2,289.63K,0.65%
8/6/25,216,219,219,215.4,540.70K,-1.37%
8/5/25,219,220.2,220.2,217.8,451.43K,-0.45%
8/4/25,220,222.2,222.2,217.2,426.76K,-1.08%
8/1/25,222.4,217,222.4,216.8,452.66K,2.49%
7/31/25,217,219,219,216,698.88K,-0.91%
7/30/25,219,220,220,216.6,911.11K,0.00%
7/29/25,219,220.8,221.6,218.6,921.09K,-0.82%
7/28/25,220.8,224,224,218.6,1.05M,-1.43%
7/25/25,224,225,225.8,223.4,146.84K,-0.44%
7/24/25,225,225,226.4,223.6,249.72K,0.45%
7/23/25,224,224,225,222.2,146.05K,0.00%
7/22/25,224,222.6,225,219.6,306.14K,0.63%
7/21/25,222.6,220,224.6,220,190.80K,1.55%
7/18/25,219.2,219,222,219,401.23K,0.09%
7/17/25,219,220,223.2,216.2,705.87K,0.00%
7/16/25,219,224.6,224.6,217,917.88K,-2.49%
7/15/25,224.6,229.4,229.4,222,409.81K,-2.09%
7/14/25,229.4,227,229.4,225.4,754.63K,1.06%
